"instance","selection","crossover","mutation","popsize","pcrossover","pmutation","seed","h2b"
9,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,15
4,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.2
5,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,15
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.2
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,15
4,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.2
5,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,15
4,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.2
5,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.17391304347826
2,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,1.34782608695652
3,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,15
4,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.2
5,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,2.68421052631579
6,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,6.13333333333333
7,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
8,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,3.55555555555556
9,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.16666666666667
10,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_swMutation",50,0.8,0.1,1,4.46153846153846
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,1.41304347826087
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,1.1304347826087
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,9.625
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,4.2
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,2.28947368421053
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,3.6
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,3.84615384615385
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,3.25
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,4.04166666666667
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,4.15384615384615
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,1.41304347826087
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,1.1304347826087
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",100,0.8,0.1,1,9.625
